(carboplatin)||carboplatin
nicoderm cq 14mg||nicotine
nicoderm cq 21mg||nicotine
nicoderm cq clear 14mg||nicotine
nicoderm cq clear 21mg||nicotine
amiodarone (amiodarone)||amiodarone
nicoderm cq clear 7mg||nicotine
solu cortef||hydrocortisone
amiodarone 200mg||amiodarone
nicorette fruit chill otc 4mg||nicotine
amiodarone hcl (manufacturer unknown)||amiodarone
solu medrol||methylprednisolone
amiodarone hcl injection||amiodarone
nicorette minis mint 2 mg||nicotine
amiodarone hcl tablet 200 mg||amiodarone
nicorette nicotine polacrilex lozenge||nicotine
cvs vitamin d||cholecalciferol
amiodarone hydrochloride 200 mg tablet||amiodarone
solu?cortef||hydrocortisone
solu?medrol||methylprednisolone
amiodarone hydrochloride teva||amiodarone
nicorette otc 2mg||nicotine
nicorette otc 4mg||nicotine
cyanocobalamin (cyanocobalamin)||8-epi-cyanocobalamin
amiodarone tablets||amiodarone
amiodarone teva||amiodarone
amiodarone zydus||amiodarone
nicorette quickmist||nicotine
cyclizine hydrochloride||cyclizine
amitriptyline (amitriptyline)||amitriptyline
amitriptyline accord||amitriptyline
solupred (prednisolone metasulfobenzoate sodium)||prednisolone
solupred (prednisolone sodium metazoate)||prednisolone
nicotinell||nicotine
amitriptyline hcl||amitriptyline
nicotrol inhaler||nicotine
solupred (prednisolone sodium sulfobenzoate)||prednisolone
amitriptyline hcl tablets usp||amitriptyline
solupred (prednisolone)||prednisolone
solupred [prednisolone metasulfobenzoate sodium]||prednisolone
amitriptyline pamoate||amitriptyline
nifedipine (nifedipine) (nifedipine)||nifedipine
solupred [prednisolone]||prednisolone
cyclobenzaprine (cyclobenzaprine)||cyclobenzaprine
nifedipine cr||nifedipine
solutions for parenteral nutrition||minoxidil
cyclobenzaprine hydrochloride (actavis laboratories fl)||cyclobenzaprine
nifedipine l||nifedipine
cyclobenzaprine tablets||cyclobenzaprine
nifedipine xl||nifedipine
amlodin (amlodipine besylate)||amlodipine
hydrocortancyl||ethanol
hydrocorticone||ethanol
hydrocortison||ethanol
soma (carisoprodol)||carisoprodol
cyclopentolate hcl||cyclopentolate
amlodipin [amlodipine besilate]||amlodipine
cyclophosphamide (cyclophosphamide)||cyclophosphamide
amlodipina [amlodipine]||amlodipine
cyclophosphamide (cyclophosphamide) (cyclophosphamide)||cyclophosphamide
amlodipine (amlodipine besilate)||amlodipine
cyclophosphamide (manufacturer unknown)||cyclophosphamide
amlodipine (amlodipine)||amlodipine
niraparib capsule||niraparib
amlodipine (amlodipine) (amlodipine)||amlodipine
cyclophosphamide (manufacturer unknown) (cyclophosphamide) (cyclophosphamide)||cyclophosphamide
amlodipine (amlodipine) (unknown)||amlodipine
somatuline autogel 120mg||lanreotide
amlodipine (unknown)||amlodipine
somatuline autogel 60mg||lanreotide
cyclophosphamide (unknown)||cyclophosphamide
amlodipine 10 mg||amlodipine
amlodipine [amlodipine besilate]||amlodipine
cyclophosphamide cap 50mg||cyclophosphamide
amlodipine b||amlodipine
amlodipine besilate||amlodipine
cyclophosphamide hydrate||cyclophosphamide
nitro [glyceryl trinitrate]||nitroglycerin
nitro patch||levomenthol
hydrocortone||ethanol
cyclophosphamide injection 1g||cyclophosphamide
amlodipine besylate (amlodipine besilate)||amlodipine
sorafenib (raf kinase inhibitor)||sorafenib
amlodipine besylate tablets||amlodipine
hydrodiuril||ethanol
cyclophosphamide monohydrate||cyclophosphamide
amlodipine besylate tablets 10mg||amlodipine
amlodipine besylate tablets 5 mg||amlodipine
hydromol||ethanol
cyclophosphamide tablets usp||cyclophosphamide
amlodipine besylate tablets 5mg||amlodipine
hydromorph||ethanol
hydromorphine||ethanol
cyclosporine (ciclosporin)||cyclosporine
amlodipine maleate||amlodipine
hydromorphon||ethanol
amlodipine mesilate||amlodipine
cyclosporine (unknown)||cyclosporine
amlodipino (2503a)||amlodipine
hydromorphon al||ethanol
nitrofurantoin monohydrate||nitrofurantoin
cyclosporine (watson laboratories)||cyclosporine
sotalol hcl||sotalol
nitroglycerin (glyceryl trinitrate)||nitroglycerin
cyclosporine cap 100mg||cyclosporine
cyclosporine cap 100mg md||cyclosporine
cyclosporine cap 25mg mod||cyclosporine
amnesteem capsules||isotretinoin
cyclosporine cap mod 100mg||cyclosporine
nitrostat (glyceryl trinitrate)||nitroglycerin
spasfon (phloroglucinol)||phloroglucinol
spasfon (phloroglucinol\trimethylphloroglucinol)||phloroglucinol
spasfon [phloroglucinol;trimethylphloroglucinol]||phloroglucinol
spasfon [phloroglucinol]||phloroglucinol
cymbalta (duloxetine hydrochloride)||duloxetine
hydromorphonhydrochlorid beta||ethanol
amoxclav [amoxicillin;clavulanic acid]||clavulanic acid
hydroval||ethanol
amoxi-clavulanico||clavulanic acid
amoxicillin (amoxicillin)||clavulanic acid
amoxicillin 500mg||clavulanic acid
hydroxychlor||ethanol
amoxicillin capsule||clavulanic acid
amoxicillin capsules usp 500 mg||clavulanic acid
no treatment received||pyrithione
amoxicillin clavulanate||clavulanic acid
amoxicillin clavulanic acid||clavulanic acid
cyproheptadine hcl||cyproheptadine
spiractin (spironolactone)||spironolactone
amoxicillin hydrate||clavulanic acid
spiramycine||spiramycin
amoxicillin sodium||clavulanic acid
cytarabine (cytarabine)||cytarabine
spiriva (tiotropium bromide)||tiotropium
cytarabine (manufacturer unknown)||cytarabine
amoxicillin trihydrate||clavulanic acid
spiriva (tiotropium bromide) (tiotropium bromide)||tiotropium
cytarabine (manufacturer unknown) (cytarabine) (cytarabine)||cytarabine
spiriva combi||tiotropium
cytarabine accord||cytarabine
cytarabine ebewe||cytarabine
cytarabine hydrochloride||cytarabine
amoxicillin-clavulanat||clavulanic acid
cytarabine kabi||cytarabine
hydroxyz||ethanol
amoxicillin-clavulanate||clavulanic acid
cytotect||misoprostol
nolvadex d||tamoxifen
cytoxan (cyclophosphamide)||cyclophosphamide
hydroxyz hcl||ethanol
amoxicillin-clavulanic acid||clavulanic acid
non-pmn buprenorphine||buprenorphine
non-pmn morphine sulfate||morphine
hydroxyz pam||ethanol
amoxicillin-pot clavulanate||clavulanic acid
d-alpha tocopherol||tocopherol
amoxicillin;clavulanic acid||clavulanic acid
spironolactone (aldactone)||spironolactone
spironolactone (spironolactone)||spironolactone
d?alpha tocopherol||tocopherol
spironolactone (unknown)||spironolactone
noradrenaline [norepinephrine]||norepinephrine
spironolactone arrow||spironolactone
dabrafenib capsule||dabrafenib
spironolactone teva||spironolactone
noradrenaline mylan||norepinephrine
dacarbazine (dacarbazine) injection||dacarbazine
spironolactone-hctz||spironolactone
dacarbazine (manufacturer unknown)||dacarbazine
daclatasvir dihydrochloride||daclatasvir
norethindrone [norethisterone]||norethisterone
sprycel (cml) tabs 100 mg||dasatinib
amphetamine salts||amphetamine
hyoscine butylbromide||scopolamine
sprycel (cml) tabs 50 mg||dasatinib
hyoscine hydrobromide||scopolamine
dafalgan (paracetamol)||acetaminophen
st. joseph aspirin||acetylsalicylic acid
dafalgan codeine||codeine
amphetamines||amphetamine
normal saline||sodium chloride
normal saline (sodium chloride)||sodium chloride
hypericum perforatum||st. john's wort
daflon (diosmin)||diosmin
stalevo 100||entacapone
daflon [diosmin]||diosmin
hypertonic saline||sodium chloride
statex (morphine sulfate)||morphine
statex [morphine sulfate]||morphine
daily multivitamin||cholecalciferol
amphotericin b lipid complex||amphotericin b
noroxine||norfloxacin
amphotericin b liposomal||amphotericin b
stemetil [prochlorperazine]||prochlorperazine
nortriptyline (nortriptyline)||nortriptyline
nortriptyline hydrochloride (watson laboratories)||nortriptyline
i.v. solutions||minoxidil
norvasc (amlodipine besilate)||amlodipine
norvasc od||amlodipine
steroid antibacterials||benzalkonium
dalbavancin hcl unk||dalbavancin
dalfampridine 10mg er tab||dalfampridine
dalfampridine er||dalfampridine
dalfampridine er 10mg aurobindo pharma||dalfampridine
daliresp (roflumilast)||roflumilast
novalgin (metamizole sodium)||metamizole
anacin nos||caffeine
dalteparin sodium||dalteparin
danaparoid sodium||danaparoid
stool softener (docusate sodium)||docusate
ibuprofen (amallc)||ibuprofen
anadin paracetamol||acetaminophen
stool softener (docusate)||docusate
ibuprofen (ibuprofen)||ibuprofen
stool softeners||docusate
ibuprofen (non-specific)||ibuprofen
dapagliflozin propanediol monohydrate||dapagliflozin
novamin (prochlorperazine maleate)||prochlorperazine
anagrelide hcl||anagrelide
ibuprofen (unknown)||ibuprofen
ibuprofen 200 mg 604||ibuprofen
analgesic (unspecified)||levomenthol
dapsone unk||dapsone
novamin (prochlorperazine)||prochlorperazine
analgesics||levomenthol
daptomycin accord||daptomycin
ibuprofen 600mg||ibuprofen
darifenacin hydrobromide||darifenacin
ibuprofen [ibuprofen]||ibuprofen
anastrozole (anastrozole)||anastrozole
darunavir ethanolate||darunavir
suboxone 8 mg||buprenorphine
anastrozole (manufacturer unknown)||anastrozole
suboxone film||buprenorphine
ibuprofen al||ibuprofen
anastrozole (unknown)||anastrozole
suboxone tablet||buprenorphine
ibuprofen capsules 200 mg||ibuprofen
anastrozole accord||anastrozole
suboxone unspecified||buprenorphine
ibuprofen film-coated tablets||ibuprofen
dasatinib monohydrate||dasatinib
novatrex (methotrexate)||methotrexate
sucralfate - bp||sucralfate
sucralfate unk||sucralfate
ibuprofen unknown product||ibuprofen
daunorubicin hcl||daunorubicin
sufentanil mylan||sufentanil
anesthetics||benzocaine
novo heparin||heparin
ibuprofeno (1769a)||ibuprofen
sugammadex sodium||sugammadex
decadron (dexamethasone)||dexamethasone
sulbactam sodium||sulbactam
icaps areds||copper
icaps lo||copper
sulfacetamide unk||sulfacetamide
decadron [dexamethasone]||dexamethasone
icaps lz||copper
antacids||magnesium carbonate
icaps mv||copper
anti-cholesterol medication||cholesterol
sulfamethoxazole-trime||sulfamethoxazole
deferoxamine mesilate||deferoxamine
idarubicin hcl||idarubicin
idarubicin hydrochloride (manufacturer unknown)||idarubicin
deflazacorte||deflazacort
antibiotics||bacitracin
antibiotics (antibiotics)||bacitracin
antibiotics nos||bacitracin
ifosfamide (ifosfamide)||ifosfamide
delavirdine mesylate||delavirdine
ifosfamide (manufacturer unknown)||ifosfamide
ifosfamide eg||ifosfamide
delix (ramipril)||ramipril
delix [ramipril]||ramipril
sumatriptan (sumatriptan succinate)||sumatriptan
ifosfamide injection 2g||ifosfamide
antifungals||miconazole
sumatriptan (sumatriptan succinate) tablet||sumatriptan
sumatriptan (sumatriptan)||sumatriptan
sumatriptan succinate tablet||sumatriptan
sumatriptan succinate tablets||sumatriptan
sumatriptan tablet||sumatriptan
antimicrobial (unspecified)||benzalkonium
sunitinib malate||sunitinib
denosine [ganciclovir]||ganciclovir
nozinan [levomepromazine]||methotrimeprazine
imatinib 400mg  tab (x30)||imatinib
imatinib 400mg tab (x30)||imatinib
np thyroid||levothyroxine
depakene [valproate sodium]||valproic acid
super b complex [vitamin b complex]||flavin mononucleotide
imatinib mes||imatinib
super b-complex||pantothenic acid
depakene-r||valproic acid
imatinib mes tab 100mg||imatinib
antithymocyte immunoglobulin (horse)||levomenthol
imatinib mes tab 400mg||imatinib
depakine [valproic acid]||valproic acid
imatinib mesilate||imatinib
antra [omeprazole]||omeprazole
imatinib mesylate 400mg teva pharmaceuticals usa||imatinib
depakote (valproate semisodium)||valproic acid
imatinib mesylate tablets||imatinib
depas (etizolam)||etizolam
depas [etizolam]||etizolam
anzatax (paclitaxel)||paclitaxel
depo provera||medroxyprogesterone acetate
depo testosterone||testosterone
apap codeine||codeine
symbicort pmdi||budesonide
imidapril hydrochloride||imidapril
symbicort turbuhaler||budesonide
depo?medrol||methylprednisolone
depo?provera||medroxyprogesterone acetate
synarela||nafarelin
apixaban (apixaban 5mg tab)||apixaban
depo?testosterone||testosterone
synthroid (levothyroxine sodium)||levothyroxine
imipramine hcl||imipramine
synthroid (levothyroxine sodium) (levothyroxine sodium)||levothyroxine
synthroid (levothyroxine sodium) (unknown)||levothyroxine
imiquimod cream 5%||imiquimod
apo amitriptyline||amitriptyline
apo celecoxib||celecoxib
imitrex (sumatriptan succinate)||sumatriptan
apo esomeprazole||esomeprazole
imitrex (sumatriptan)||sumatriptan
apo folic acid||folic acid
apo furosemide||furosemide
imitrex df||sumatriptan
apo gabapentin||gabapentin
imitrex spray||sumatriptan
apo hydromorphone||hydromorphone
systane eyedrops||propylene glycol
apo hydroxychloroquine||hydroxychloroquine
desipramine hcl||desipramine
apo ibuprofen||ibuprofen
systane geldrops||propylene glycol
systane pf||propylene glycol
apo leflunomida||leflunomide
apo metoprolol||metoprolol
apo mometasone||mometasone
apo mycophenolate||mycophenolic acid
desmopressin kyowa||desmopressin
apo naproxen||naproxen
apo prednisone||prednisone
desoxyn (methamphetamine hcl)||metamfetamine
apo quinine||quinine
apo ranitidine||ranitidine
desvenlafaxine succinate monohydrate||desvenlafaxine
apo risedronate||risedronic acid
apo rosuvastatin||rosuvastatin
apo sulfatrim||sulfamethoxazole
nuvigil (armodafinil)||armodafinil
apo tramadol||tramadol
tacrolimus (tacrolimus)||tacrolimus
tacrolimus (unknown)||tacrolimus
apo-carbamazepine||carbamazepine
apo-clonazepam||clonazepam
tacrolimus (watson laboratories)||tacrolimus
apo-clozapine||clozapine
tacrolimus 0.5mg||tacrolimus
nystatin (nystatin)||nystatin
apo-cyclosporine||cyclosporine
tacrolimus 1mg||tacrolimus
nystatin powder||nystatin
tacrolimus 1mg cap||tacrolimus
apo-doxepin||doxepin
tacrolimus cap||tacrolimus
nystatin suspension||nystatin
tacrolimus cap 0.5mg||tacrolimus
apo-folic acid||folic acid
tacrolimus cap 1mg||tacrolimus
apo-furosemide||furosemide
tacrolimus cap 5mg||tacrolimus
apo-hydroxyzine||hydroxyzine
tacrolimus capsules||tacrolimus
tacrolimus hydrate||tacrolimus
dexametasona (722a)||dexamethasone
tacrolimus monohydrate||tacrolimus
apo-lorazepam||lorazepam
tacrolimus mr4 capsules||tacrolimus
apo-metformin||metformin
tacrolimus ointment||tacrolimus
dexamethason [dexamethasone]||dexamethasone
apo-oxazepam||oxazepam
tacrolimus systemic||tacrolimus
dexamethasone (dexamethasone)||dexamethasone
apo-prednisone||prednisone
dexamethasone (dexamethasone) (dexamethasone)||dexamethasone
tadalafil 20mg||tadalafil
dexamethasone (dexamethasone) (tablets)||dexamethasone
tadalafil 20mg tab||tadalafil
ocean nasal||phenylephrine
apo-sulfasalazine||sulfasalazine
dexamethasone (dexamethasone) (unknown)||dexamethasone
tadalafil tab 20 mg||tadalafil
dexamethasone (unknown)||dexamethasone
tadalafil tablet||tadalafil
apo-sulfatrim||sulfamethoxazole
dexamethasone (watson laboratories)||dexamethasone
dexamethasone injection (manufacturer unknown)||dexamethasone
apo-trazodone||trazodone
apo?amitriptyline||amitriptyline
apo?azathioprine||azathioprine
dexamethasone iv||dexamethasone
tagamet hb (otc)||cimetidine
dexamethasone mylan||dexamethasone
dexamethasone oral||dexamethasone
apo?leflunomide||leflunomide
apo?naproxen||naproxen
apo?prednisone||prednisone
dexamethasone salt not specified||dexamethasone
dexamethasone sodium||dexamethasone
apo?sulfatrim||sulfamethoxazole
imodium a?d||dimethicone
takepron (lansoprazole)||lansoprazole
dexamethasone(dexamethasone)||dexamethasone
dexamfetamine sulfate||dextroamphetamine
apomorphine hydrochloride||apomorphine
apple cider vinegar||acetic acid
talcid||talc
implanon nxt||etonogestrel
dexilant (dexlansoprazole)||dexlansoprazole
talion (bepotastine besylate)||bepotastine
dexilant dr||dexlansoprazole
talion [bepotastine besilate]||bepotastine
imuran (azathioprine)||azathioprine
dextroamphetamine [dexamfetamine]||dextroamphetamine
dextroamphetamine-amphetamine (aellc)||dextroamphetamine
dextromethorphan (unknown)||dextromethorphan
aquaphor ointment||petrolatum
aquaphoril||petrolatum
dextromethorphan polistirex er os||dextromethorphan
tamoxifen (unknown)||tamoxifen
imurel [azathioprine]||azathioprine
tamoxifen citrate (actavis laboratories fl)||tamoxifen
dextrose 5%||dextrose, unspecified form
tamoxifene base||tamoxifen
dextrose injections usp 0264-7510-00 0264-7510-20||dextrose, unspecified form
tamsulosin (tamsulosin)||tamsulosin
tamsulosin 0.4 mg||tamsulosin
tamsulosin 0.4mg||tamsulosin
tamsulosin hcl||tamsulosin
tamsulosin hydrochloride capsules usp 0.4 mg||tamsulosin
tamsulosin hydrochloride od||tamsulosin
incivo (telaprevir)||telaprevir
tamsulosine [tamsulosin]||tamsulosin
tamsulosine hcl||tamsulosin
arcapta (indacaterol) unknown||indacaterol
indacaterol maleate||indacaterol
diamicron lm||gliclazide
aredia (pamidronate disodium)||pamidronic acid
diammonium glycyrrhizinate||glycyrrhizic acid
indapamide (indapamide)||indapamide
diamorphine hydrochloride||diamorphine
tantum verde||benzydamine
indapamide (unknown)||indapamide
indapamide hemihydrate||indapamide
olanzapina teva||olanzapine
tapenta (tapentadol)||tapentadol
dianeal low calcium||calcium
olanzapine (olanzapine)||olanzapine
tapentadol hydrochloride||tapentadol
aricept (donepezil hydrochloride)||donepezil
olanzapine (unknown)||olanzapine
aripiprazole  10 mg||aripiprazole
indinavir sulfate||indinavir
aripiprazole (aripiprazole)||aripiprazole
olanzapine 10mg||olanzapine
dianeal pd2 (ultrabag)||chloroxylenol
aripiprazole (dual chamber)||aripiprazole
dianeal-n pd-2 1.5 pd solution||minoxidil
aripiprazole (unknown)||aripiprazole
olanzapine 5mg||olanzapine
aripiprazole im depot||aripiprazole
dianeal-n pd-2 2.5 pd solution||minoxidil
indocid [indometacin]||indomethacin
aripiprazole tablet||aripiprazole
olanzapine film-coated tablet||olanzapine
dianeal-n pd-4 1.5 pd solution||minoxidil
target nicotine||nicotine
aripiprazole tablets||aripiprazole
dianeal-n pd-4 2.5 pd solution||minoxidil
indocin i.v||indomethacin
olanzapine for injection (0517-0955-01)||olanzapine
targinact||oxycodone
indomethacin [indometacin]||indomethacin
olanzapine long-acting im||olanzapine
armodafinil tablets||armodafinil
olanzapine pamoate||olanzapine
diastat [diazepam]||diazepam
olanzapine tablet||olanzapine
armour thyroid||levothyroxine
tasigna (amn107) capsule||nilotinib
diastat acudial||diazepam
armour thyroid (thyroid)||levothyroxine
inexium (esomeprazole sodium)||esomeprazole
aromasin (exemestane)||exemestane
diazepam (diazepam)||diazepam
aromasine||exemestane
diazepam (diazepam) (diazepam)||diazepam
tavegil [clemastine]||clemastine
diazepam (unknown)||diazepam
inexium [esomeprazole sodium]||esomeprazole
arotinolol hydrochloride||arotinolol
diazepam (watson laboratories)||diazepam
tavor (lorazepam)||lorazepam
diazepam tablets||diazepam
diazepam tablets usp||diazepam
diazepam teva||diazepam
tazobactam sodium||tazobactam
diazoxide capsules 25 mg ^msd^||diazoxide
asa (acetylsalicylic acid)||acetylsalicylic acid
tea tree oil||glycerin
asa (acetylsalicylic acid) (unknown)||acetylsalicylic acid
diclofenac (diclofenac sodium)||diclofenac
diclofenac (diclofenac)||diclofenac
diclofenac (unknown)||diclofenac
diclofenac diethylamine||diclofenac
olmesartan ag||olmesartan
diclofenac diethylammonium salt||diclofenac
olmesartan film coated tablets||olmesartan
diclofenac gel||diclofenac
tecfidera 240 mg biogen idec||dimethyl fumarate
diclofenac na||diclofenac
olmesartan hct ag||olmesartan
tecfidera 240mg biogen idec||dimethyl fumarate
diclofenac retard||diclofenac
diclofenac sodium er||diclofenac
ascorbic acid (vitamin c)||ascorbic acid
olmesartan medoxomil tablets||olmesartan
diclofenac sodium gel||diclofenac
ascorutin||ascorbic acid
diclophenac||phenobarbital
olmesartan od||olmesartan
olmetec (olmesartan medoxomil)||olmesartan
asenapine maleate - bp||asenapine
asenapine maleate ? bp||asenapine
dicyclomine [dicycloverine hydrochloride]||dicyclomine
tegretol (carbamazepine) unknown||carbamazepine
olmetec 20 mg||olmesartan
asenapine maleate unk||asenapine
tegretol cr||carbamazepine
olmetec 40 mg||olmesartan
dicyclomine [dicycloverine]||dicyclomine
tegretol lp||carbamazepine
tegretol retard||carbamazepine
olmetec hct||olmesartan
dicycloverine hydrochloride||dicyclomine
tegretol-xr||carbamazepine
olmetec od||olmesartan
teicoplanine||teicoplanin
olmetec tablets 20mg||olmesartan
telaprevir (telaprevir)||telaprevir
aspara potassium||potassium
olopatadine hcl||olopatadine
temazepam (temazepam)||temazepam
olopatadine hydrochloride od||olopatadine
temazepam capsules||temazepam
temazepam capsules usp||temazepam
difenidol hydrochloride||diphenidol
innohep (tinzaparin sodium)||tinzaparin
aspegic [acetylsalicylic acid]||acetylsalicylic acid
differin gel||adapalene
aspercreme nos||lidocaine
temesta (lorazepam)||lorazepam
temesta [lorazepam]||lorazepam
temocapril hydrochloride||temocapril
temozolomide 100mg||temozolomide
omega 3 (fish oil)||capsaicin
temozolomide 100mg cap||temozolomide
aspirin "bayer"||acetylsalicylic acid
omega 3 6 9||capsaicin
temozolomide 140mg cap||temozolomide
aspirin (acetylsalicyclic acid)||acetylsalicylic acid
temozolomide 180mg cap||temozolomide
omega 3 6 9 complex||capsaicin
diflucan (fluconazole)||fluconazole
aspirin (acetylsalicylic acid)||acetylsalicylic acid
temozolomide 20mg cap||temozolomide
aspirin (acetylsalicylic acid) (acetylsalicylic acid)||acetylsalicylic acid
temozolomide 250mg cap||temozolomide
diflucortolone valerate||difluocortolone
aspirin (acetylsalicylic acid) (enteric-coated tablet)||acetylsalicylic acid
temozolomide cap 100mg||temozolomide
aspirin (acetylsalicylic acid) (tablets)||acetylsalicylic acid
temozolomide cap 140mg||temozolomide
aspirin (acetylsalicylic acid) (unknown) (acetylsalicylic acid)||acetylsalicylic acid
temozolomide cap 180mg||temozolomide
aspirin (aspirin)||acetylsalicylic acid
omega 3 [fish oil]||capsaicin
aspirin (baby)||acetylsalicylic acid
aspirin (cardio)||acetylsalicylic acid
teneligliptin hydrobromide hydrate||teneligliptin
aspirin (e.c.)||acetylsalicylic acid
omega 3 acid||capsaicin
aspirin (e.c.) [acetylsalicylic acid]||acetylsalicylic acid
tenofovir (tenofovir) unknown||tenofovir
omega 3 acid ethyl esters||capsaicin
aspirin (unknown)||acetylsalicylic acid
tenofovir disofoxil fumarate||tenofovir
aspirin 100 mg||acetylsalicylic acid
omega 3 fatty acid||capsaicin
tenormine||atenolol
aspirin [acetylsalicylic acid]||acetylsalicylic acid
omega 3 fish oil||capsaicin
aspirin ^bayer^||acetylsalicylic acid
omega 3 fish oil [fish oil]||capsaicin
aspirin adult||acetylsalicylic acid
aspirin bayer||acetylsalicylic acid
omega 3 fish oils||capsaicin
aspirin buffered||acetylsalicylic acid
aspirin cardio||acetylsalicylic acid
omega 3 krill oil||capsaicin
digoxin (digoxin)||digoxin
aspirin cardio 100 mg||acetylsalicylic acid
omega 3-6-9||capsaicin
omega 369||capsaicin
aspirin children||acetylsalicylic acid
digoxine nativelle||digoxin
omega 3?6?9||capsaicin
aspirin coated||acetylsalicylic acid
dihydrocodeine bitartrate||dihydrocodeine
terazosin hcl||terazosin
aspirin e.c||acetylsalicylic acid
terbinafine (terbinafine)||terbinafine
aspirin ec low dose||acetylsalicylic acid
dihydrocodeine tartrate||dihydrocodeine
terbinafine 250mg||terbinafine
omega-3 acid ethyl esters||omega-3 fatty acids
terbinafine hcl||terbinafine
aspirin ec low dose 81 mg||acetylsalicylic acid
omega-3 acids||omega-3 fatty acids
insulin regular||sodium fluorophosphate
diisopropylamine dichloroacetate||dichloroacetic acid
omega-3 fish oil||omega-3 fatty acids
insulin regular hm||sodium fluorophosphate
aspirin enteric coated k.p||acetylsalicylic acid
dilantin (phenytoin sodium)||phenytoin
omega-3 marine triglycerides||omega-3 fatty acids
terbutaline sulphate||terbutaline
omega-3 triglycerides||omega-3 fatty acids
tercian [cyamemazine tartrate]||cyamemazine
aspirin low||acetylsalicylic acid
dilaudid (hydromorphone hydrochloride)||hydromorphone
aspirin protect||acetylsalicylic acid
tercian [cyamemazine]||cyamemazine
terconazole vaginal cream 0.4%||terconazole
aspirin protect 100 mg||acetylsalicylic acid
dilaudid (hydromorphone)||hydromorphone
aspirin(acetylsalicylic acid)||acetylsalicylic acid
dilaudid injection||hydromorphone
aspirin-81||acetylsalicylic acid
dilaudid tablet||hydromorphone
aspirin-low||acetylsalicylic acid
tessalon perle||benzonatate
tessalon perles||benzonatate
diltiazem (diltiazem)||diltiazem
aspirine||acetylsalicylic acid
testosterone cream||testosterone
testosterone cyp||testosterone
omeprazol (2141a)||omeprazole
diltiazem (unknown)||diltiazem
aspirine (acetylsalicylic acid)||acetylsalicylic acid
omeprazol [omeprazole]||omeprazole
testosterone enantate||testosterone
omeprazol actavis||omeprazole
diltiazem er||diltiazem
aspirine protect||acetylsalicylic acid
omeprazol e||omeprazole
testosterone gel||testosterone
diltiazem hcl er||diltiazem
aspirinetas||acetylsalicylic acid
omeprazole (actavis laboratories fl)||omeprazole
omeprazole (omeprazole)||omeprazole
diltiazem hcl er capsules||diltiazem
aspirinetta||acetylsalicylic acid
omeprazole (omeprazole) (omeprazole)||omeprazole
omeprazole (omeprazole) (unknown)||omeprazole
diltiazem hcl exte-rel||diltiazem
omeprazole (prilosec)||omeprazole
ass (acetylsalicylic acid)||acetylsalicylic acid
omeprazole (unknown)||omeprazole
diltiazem hydrochloride r||diltiazem
teva rosuvastatin||rosuvastatin
omeprazole 20mg||omeprazole
omeprazole 40 mg||omeprazole
diltiazem xr||diltiazem
omeprazole 40mg||omeprazole
omeprazole [omeprazole sodium]||omeprazole
astelin (azelastine hydrochloride)||azelastine
thalomid (thalidomide) (capsules)||thalidomide
omeprazole mylan||omeprazole
omeprazole otc||omeprazole
omeprazole sodium||omeprazole
theophylline er||theophylline
omeprazole(omeprazole)||omeprazole
dimetindene maleate||dimetindene
omeprazolo||omeprazole
asverin (tipepidine hibenzate)||tipepidine
atarax (hydroxyzine hydrochloride)||hydroxyzine
ipratropium br||ipratropium
atarax-p||hydroxyzine
diovan (valsartan)||valsartan
therapeutic radiopharmaceutical (unspecified)||coal tar
therapeutic radiopharmaceuticals||coal tar
atasol [paracetamol]||acetaminophen
ipratropiumbromid||ipratropium
diovan amlo||valsartan
therapeutic radiopharmaceuticals (therapeutic radiopharmaceuticals)||coal tar
omontys (peginesatide) solution for injection||minoxidil
irbesartan (irbesartan)||irbesartan
diovan amlo fix||valsartan
irbesartan hctz||irbesartan
diovan d||valsartan
irbesartan hydrochloride||irbesartan
thiamine (thiamine)||thiamine
diovan triple||valsartan
thiamine hcl||thiamine
thiamine mononitrate||thiamine
irbesartan tablets||irbesartan
diovane||valsartan
atenolol (atenolol)||atenolol
atenolol (atenolol) (atenolol)||atenolol
irinotecan (irinotecan)||irinotecan
diphenhydram||diphenhydramine
atenolol (unknown)||atenolol
irinotecan (manufacturer unknown)||irinotecan
thioguanine (6-tg)||tioguanine
irinotecan (unknown)||irinotecan
diphenhydramin||diphenhydramine
atenolol arrow||atenolol
irinotecan accord||irinotecan
ondansetron (manufacturer unknown)||ondansetron
diphenhydramine (diphenhydramine)||diphenhydramine
irinotecan hcl||irinotecan
atenolol tablets||atenolol
ondansetron (ondansetron)||ondansetron
irinotecan hospira||irinotecan
ondansetron (ondansetron) unknown||ondansetron
diphenhydramine (watson laboratories)||diphenhydramine
atenolol tablets usp||atenolol
irinotecan hydrochloride trihydrate||irinotecan
ondansetron 4mg||ondansetron
irinotecan liposome||irinotecan
diphenhydramine [diphenhydramine hydrochloride]||diphenhydramine
ondansetron 8mg||ondansetron
irinotecan mylan||irinotecan
ondansetron accord||ondansetron
diphenhydramine hydrochloride 25 mg 479||diphenhydramine
atenololo||atenolol
diphenhydramine unknown product||diphenhydramine
ondansetron aurobindo||ondansetron
iron (iron)||iron
ondansetron dr reddy||ondansetron
iron (unspecified)||iron
ondansetron hcl (ondansetron hydrochloride)||ondansetron
thyroid hormones||levothyroxine
iron [iron]||iron
thyroid medication||levothyroxine
