(carboplatin)||carboplatin||carboplatin
sodium iodide (i 131) solution||solution||minoxidil
sodium perchlorate||perchlorate||perchlorate
sodium phosphate||phosphate||sodium phosphate, monobasic, unspecified form
hydrochlorothiazide (unknown)||hydro||ethanol
hydrochlorothiazide (unknown)||hydrochlorothiazide||hydrochlorothiazide
creatine monohydrate||creatine||creatine
creatine monohydrate||creatin||creatine
sodium picosulfate||picosulfate||picosulfuric acid
amantadine (amantadine)||amantadine||amantadine
hydrochlorothiazide 25 mg||hydro||ethanol
sodium picosulfate hydrate||picosulfate||picosulfuric acid
creatine phosphate sodium||phosphate||sodium phosphate, monobasic, unspecified form
hydrochlorothiazide 25 mg||hydrochlorothiazide||hydrochlorothiazide
amaryl (glimepiride)||amaryl||glimepiride
creatine phosphate sodium||creatine phosphate||phosphocreatine
amaryl (glimepiride)||glimepiride||glimepiride
creatine phosphate sodium||creatine||creatine
sodium picosulphate||picosulphate||picosulfuric acid
amaryl m||amaryl||glimepiride
nevirapine (nevirapine)||nevirapine||nevirapine
creatine phosphate sodium||creatin||creatine
hydrochlorothiazide accord||hydro||ethanol
hydrochlorothiazide accord||hydrochlorothiazide||hydrochlorothiazide
sodium rabeprazole||rabeprazole||rabeprazole
crestor (rosuvastatin calcium)||crestor||rosuvastatin
ambien (zolpidem tartrate)||zolpidem||zolpidem
hydrochlorothiazide tablets||hydro||ethanol
crestor (rosuvastatin calcium)||rosuvastatin||rosuvastatin
sodium risedronate hydrate||risedronate||risedronic acid
ambien (zolpidem tartrate)||ambien||zolpidem
nexium (esomeprazole magnesium)||magnesium||magnesium
hydrochlorothiazide tablets||hydrochlorothiazide||hydrochlorothiazide
crestor (rosuvastatin calcium)||calcium||calcium
sodium selenite||selen||selenium
ambien (zolpidem tartrate)||zolpidem tartrate||zolpidem
nexium (esomeprazole magnesium)||nexium||esomeprazole
hydrochlorothiazide unk||hydro||ethanol
crestor (rosuvastatin calcium)||rosuvastatin calcium||rosuvastatin
sodium valproate||valproate||valproic acid
ambien (zolpidem tartrate) (unknown)||zolpidem||zolpidem
nexium (esomeprazole magnesium)||esomeprazole magnesium||esomeprazole
ambien (zolpidem tartrate) (unknown)||ambien||zolpidem
nexium (esomeprazole magnesium)||esomeprazole||esomeprazole
sodium valproate (unknown)||valproate||valproic acid
hydrochlorothiazide unk||hydrochlorothiazide||hydrochlorothiazide
crestor (rosuvastatin calcium)||crest||sodium fluoride
ambien (zolpidem tartrate) (unknown)||zolpidem tartrate||zolpidem
nexium (esomeprazole magnesium)||esomeprazol||esomeprazole
crestor (rosuvastatin)||crestor||rosuvastatin
crestor (rosuvastatin)||rosuvastatin||rosuvastatin
crestor (rosuvastatin)||crest||sodium fluoride
ambien (zolpidem tartrate) (zolpidem tartrate)||zolpidem||zolpidem
ambien (zolpidem tartrate) (zolpidem tartrate)||ambien||zolpidem
ambien (zolpidem tartrate) (zolpidem tartrate)||zolpidem tartrate||zolpidem
sofosbuvir 400mg gilead||sofosbuvir||sofosbuvir
sofosbuvir;velpatasvir||velpatasvir||velpatasvir
nexium (esomeprazole)||nexium||esomeprazole
nexium (esomeprazole)||esomeprazole||esomeprazole
nexium (esomeprazole)||esomeprazol||esomeprazole
nexium (esomeprazole) (esomeprazole)||nexium||esomeprazole
nexium (esomeprazole) (esomeprazole)||esomeprazole||esomeprazole
crestor od||crestor||rosuvastatin
ambrisentan 10mg||ambrisentan||ambrisentan
hydrochlorothiazide; triamterene||triamteren||triamterene
sofosbuvir;velpatasvir||sofosbuvir||sofosbuvir
nexium (esomeprazole) (esomeprazole)||esomeprazol||esomeprazole
crestor od||crest||sodium fluoride
ambrisentan 10mg actavis pharma||ambrisentan||ambrisentan
hydrochlorothiazide; triamterene||hydro||ethanol
nexium (esomeprazole) (unknown)||nexium||esomeprazole
ambrisentan 5mg actavis pharma||ambrisentan||ambrisentan
hydrochlorothiazide; triamterene||triamterene||triamterene
nexium (esomeprazole) (unknown)||esomeprazole||esomeprazole
ambrisentan tablets||ambrisentan||ambrisentan
hydrochlorothiazide; triamterene||hydrochlorothiazide||hydrochlorothiazide
nexium (esomeprazole) (unknown)||esomeprazol||esomeprazole
ambroxol hcl||ambroxol||ambroxol
hydrochlorothiazide\lisinopril||lisinopril||lisinopril
nexium 1-2-3||nexium||esomeprazole
ambroxol hydrochloride||ambroxol||ambroxol
hydrochlorothiazide\lisinopril||hydro||ethanol
cromoglicate sodium||cromo||chromium
nexium [esomeprazole magnesium]||magnesium||magnesium
ambroxol hydrochloride||hydro||ethanol
hydrochlorothiazide\lisinopril||hydrochlorothiazide||hydrochlorothiazide
cromoglicate sodium||cromoglicate||cromoglicic acid
nexium [esomeprazole magnesium]||nexium||esomeprazole
hydrochlorothiazide\valsartan||valsartan||valsartan
nexium [esomeprazole magnesium]||esomeprazole magnesium||esomeprazole
cromolyn sodium nasal solution usp||cromo||chromium
hydrochlorothiazide\valsartan||hydro||ethanol
nexium [esomeprazole magnesium]||esomeprazole||esomeprazole
cromolyn sodium nasal solution usp||cromolyn||cromoglicic acid
hydrochlorothiazide\valsartan||hydrochlorothiazide||hydrochlorothiazide
nexium [esomeprazole magnesium]||esomeprazol||esomeprazole
cromolyn sodium nasal solution usp||cromolyn sodium||cromoglicic acid
hydrochlorthiazid||hydro||ethanol
nexium [esomeprazole sodium]||nexium||esomeprazole
cromolyn sodium nasal solution usp||nasal||phenylephrine
hydrochlorthiazide||hydro||ethanol
nexium [esomeprazole sodium]||esomeprazole sodium||esomeprazole
cromolyn sodium nasal solution usp||solution||minoxidil
hydrochlorzide||hydro||ethanol
nexium [esomeprazole sodium]||esomeprazole||esomeprazole
hydrocholothiazide 25 mg tablet||hydro||ethanol
nexium [esomeprazole sodium]||esomeprazol||esomeprazole
nexium capsule||nexium||esomeprazole
nexium hp||nexium||esomeprazole
nexium i.v||nexium||esomeprazole
nexium mups||nexium||esomeprazole
nexium mups [esomeprazole magnesium]||magnesium||magnesium
nexium mups [esomeprazole magnesium]||nexium||esomeprazole
nexium mups [esomeprazole magnesium]||esomeprazole magnesium||esomeprazole
nexium mups [esomeprazole magnesium]||esomeprazole||esomeprazole
nexium mups [esomeprazole magnesium]||esomeprazol||esomeprazole
niacin (nicotinic acid)||niacin||niacin
niacin (nicotinic acid)||nicotinic acid||niacin
niacin er||niacin||niacin
hydrochorothiazide||hydro||ethanol
niaspan (coated)||niaspan||niacin
niaspan (coated) 1000mg||niaspan||niacin
amikacine mylan||amikacine||amikacin
amikacine mylan||amikacin||amikacin
hydroco||hydro||ethanol
niaspan (coated) 500mg||niaspan||niacin
niaspan (nicotinic acid)||niaspan||niacin
solian||solia||desogestrel
hydroco apap||hydro||ethanol
amiloride hcl||amiloride||amiloride
niaspan (nicotinic acid)||nicotinic acid||niacin
amiloride hcl||amilorid||amiloride
solifenacine||solifenacin||solifenacin
hydrocobamine||hydro||ethanol
cubicin (daptomycin)||cubicin||daptomycin
hydrocodeine||hydro||ethanol
cubicin (daptomycin)||daptomycin||daptomycin
hydrocodon-acetaminophen||acetaminophen||acetaminophen
hydrocodon-acetaminophen||hydrocodon||hydrocodone
hydrocodon-acetaminophen||hydro||ethanol
hydrocodone (hydrocodone)||hydrocodon||hydrocodone
hydrocodone (hydrocodone)||hydro||ethanol
hydrocodone (hydrocodone)||hydrocodone||hydrocodone
nicoderm cq 14mg||nicoderm cq||nicotine
nicoderm cq 21mg||nicoderm cq||nicotine
hydrocodone apap||hydrocodon||hydrocodone
hydrocodone apap||hydro||ethanol
hydrocodone apap||hydrocodone||hydrocodone
nicoderm cq clear 14mg||nicoderm cq||nicotine
nicoderm cq clear 21mg||nicoderm cq||nicotine
amiodarone (amiodarone)||amiodarone||amiodarone
nicoderm cq clear 7mg||nicoderm cq||nicotine
hydrocodone bitartrate (similar to nda 206627)||hydrocodon||hydrocodone
hydrocodone bitartrate (similar to nda 206627)||hydrocodone bitartrate||hydrocodone
solu cortef||cortef||hydrocortisone
hydrocodone bitartrate (similar to nda 206627)||hydro||ethanol
amiodarone (chlorhydrate d')||amiodarone||amiodarone
hydrocodone bitartrate (similar to nda 206627)||hydrocodone||hydrocodone
amiodarone (chlorhydrate d')||chlor||chlorine
hydrocodone bitartrate;acetaminophen unk||acetaminophen||acetaminophen
amiodarone 200mg||amiodarone||amiodarone
hydrocodone bitartrate;acetaminophen unk||hydrocodon||hydrocodone
nicorette fruit chill otc 4mg||nicorette||nicotine
hydrocodone bitartrate;acetaminophen unk||hydrocodone bitartrate||hydrocodone
amiodarone hcl (manufacturer unknown)||amiodarone hcl||amiodarone
hydrocodone bitartrate;acetaminophen unk||hydro||ethanol
amiodarone hcl (manufacturer unknown)||amiodarone||amiodarone
nicorette fruit chill otc 4mg||nicorette fruit chill||nicotine
hydrocodone bitartrate;acetaminophen unk||hydrocodone||hydrocodone
solu medrol||medrol||methylprednisolone
amiodarone hcl injection||amiodarone hcl||amiodarone
nicorette minis mint 2 mg||nicorette||nicotine
amiodarone hcl injection||amiodarone||amiodarone
amiodarone hcl tablet 200 mg||amiodarone hcl||amiodarone
amiodarone hcl tablet 200 mg||amiodarone||amiodarone
nicorette nicotine polacrilex lozenge||nicorette||nicotine
nicorette nicotine polacrilex lozenge||nicotine polacrilex||nicotine
cvs vitamin d||vitamin d||cholecalciferol
hydrocodone- acetaminophen||acetaminophen||acetaminophen
amiodarone hydrochloride 200 mg tablet||amiodarone hydrochloride||amiodarone
nicorette nicotine polacrilex lozenge||nicotine||nicotine
hydrocodone- acetaminophen||hydrocodon||hydrocodone
amiodarone hydrochloride 200 mg tablet||hydro||ethanol
solu?cortef||cortef||hydrocortisone
hydrocodone- acetaminophen||hydro||ethanol
amiodarone hydrochloride 200 mg tablet||amiodarone||amiodarone
hydrocodone- acetaminophen||hydrocodone||hydrocodone
solu?medrol||medrol||methylprednisolone
amiodarone hydrochloride teva||amiodarone hydrochloride||amiodarone
hydrocodone-acetaminop||hydrocodon||hydrocodone
nicorette otc 2mg||nicorette||nicotine
amiodarone hydrochloride teva||hydro||ethanol
hydrocodone-acetaminop||hydro||ethanol
amiodarone hydrochloride teva||amiodarone||amiodarone
nicorette otc 4mg||nicorette||nicotine
hydrocodone-acetaminop||hydrocodone||hydrocodone
cyanocobalamin (cyanocobalamin)||cyanocobalamin||8-epi-cyanocobalamin
amiodarone tablets||amiodarone||amiodarone
hydrocodone-acetaminophen||acetaminophen||acetaminophen
amiodarone teva||amiodarone||amiodarone
hydrocodone-acetaminophen||hydrocodon||hydrocodone
amiodarone zydus||amiodarone||amiodarone
nicorette quickmist||nicorette||nicotine
hydrocodone-acetaminophen||hydro||ethanol
hydrocodone-acetaminophen||hydrocodone||hydrocodone
hydrocodone-acetaminophen (watson laboratories)||acetaminophen||acetaminophen
hydrocodone-acetaminophen (watson laboratories)||hydrocodon||hydrocodone
hydrocodone-acetaminophen (watson laboratories)||hydro||ethanol
hydrocodone-acetaminophen (watson laboratories)||hydrocodone||hydrocodone
cyclizine hydrochloride||cyclizine||cyclizine
nicotine patch||patch||levomenthol
cyclizine hydrochloride||hydro||ethanol
hydrocodone-apap||hydrocodon||hydrocodone
nicotine patch||nicotine||nicotine
hydrocodone-apap||hydro||ethanol
amitriptyline (amitriptyline)||amitriptyline||amitriptyline
nicotine transdermal patch||patch||levomenthol
hydrocodone-apap||hydrocodone||hydrocodone
amitriptyline (amitriptyline)||amitriptylin||amitriptyline
nicotine transdermal patch||nicotine transdermal||nicotine
amitriptyline accord||amitriptyline||amitriptyline
solupred (prednisolone metasulfobenzoate sodium)||prednisolone||prednisolone
hydrocodone-homatropine||hydrocodon||hydrocodone
nicotine transdermal patch||nicotine||nicotine
amitriptyline accord||amitriptylin||amitriptyline
hydrocodone-homatropine||hydro||ethanol
solupred (prednisolone sodium metazoate)||prednisolone||prednisolone
nicotinell||nicotine||nicotine
amitriptyline hcl||amitriptyline||amitriptyline
hydrocodone-homatropine||hydrocodone||hydrocodone
nicotrol inhaler||nicotrol||nicotine
amitriptyline hcl||amitriptylin||amitriptyline
solupred (prednisolone sodium sulfobenzoate)||prednisolone||prednisolone
hydrocodone-homatropine||homatropine||homatropine
nicotrol nasal spray||nicotrol||nicotine
amitriptyline hcl tablets usp||amitriptyline||amitriptyline
solupred (prednisolone)||prednisolone||prednisolone
hydrocodone-ibuprofen||ibuprofen||ibuprofen
nicotrol nasal spray||nasal||phenylephrine
amitriptyline hcl tablets usp||amitriptylin||amitriptyline
hydrocodone-ibuprofen||hydrocodon||hydrocodone
solupred [prednisolone metasulfobenzoate sodium]||prednisolone||prednisolone
amitriptyline pamoate||amitriptyline||amitriptyline
hydrocodone-ibuprofen||hydro||ethanol
amitriptyline pamoate||amitriptylin||amitriptyline
nifedipine (nifedipine) (nifedipine)||nifedipine||nifedipine
solupred [prednisolone]||prednisolone||prednisolone
hydrocodone-ibuprofen||hydrocodone||hydrocodone
cyclobenzaprine (cyclobenzaprine)||cyclobenzaprine||cyclobenzaprine
nifedipine cr||nifedipine||nifedipine
solutions for parenteral nutrition||solution||minoxidil
hydrocodone?acetaminophen||acetaminophen||acetaminophen
nifedipine extended-release tablets||nifedipine||nifedipine
hydrocodone?acetaminophen||hydrocodon||hydrocodone
cyclobenzaprine hydrochloride (actavis laboratories fl)||cyclobenzaprine||cyclobenzaprine
nifedipine extended-release tablets||nifedipine extended-release||nifedipine
hydrocodone?acetaminophen||hydro||ethanol
nifedipine extended-release tablets||release||manganese
hydrocodone?acetaminophen||hydrocodone||hydrocodone
cyclobenzaprine hydrochloride (actavis laboratories fl)||hydro||ethanol
hydrocodone?apap||hydrocodon||hydrocodone
nifedipine l||nifedipine||nifedipine
cyclobenzaprine hydrochloride (actavis laboratories fl)||cyclobenzaprine hydrochloride||cyclobenzaprine
hydrocodone?apap||hydro||ethanol
cyclobenzaprine tablets||cyclobenzaprine||cyclobenzaprine
nifedipine xl||nifedipine||nifedipine
hydrocodone?apap||hydrocodone||hydrocodone
amlodin (amlodipine besylate)||amlodipine||amlodipine
hydrocort [hydrocortisone acetate]||acetate||acetate
amlodin (amlodipine besylate)||amlodipine besylate||amlodipine
hydrocort [hydrocortisone acetate]||hydrocortisone acetate||hydrocortisone acetate
hydrocort [hydrocortisone acetate]||hydrocortisone||hydrocortisone
hydrocort [hydrocortisone acetate]||hydro||ethanol
hydrocortancyl||hydro||ethanol
hydrocorticone||hydro||ethanol
hydrocortison||hydro||ethanol
soma (carisoprodol)||carisoprodol||carisoprodol
hydrocortison [hydrocortisone]||hydrocortisone||hydrocortisone
cyclopentolate hcl||cyclopentolate||cyclopentolate
hydrocortison [hydrocortisone]||hydro||ethanol
amlodipin [amlodipine besilate]||amlodipine||amlodipine
cyclophosphamide (cyclophosphamide)||cyclophosphamide||cyclophosphamide
cyclophosphamide (cyclophosphamide)||cyclophosphamid||cyclophosphamide
hydrocortisone (hydrocortisone)||hydrocortisone||hydrocortisone
hydrocortisone (hydrocortisone)||hydro||ethanol
amlodipina [amlodipine]||amlodipine||amlodipine
cyclophosphamide (cyclophosphamide) (cyclophosphamide)||cyclophosphamide||cyclophosphamide
cyclophosphamide (cyclophosphamide) (cyclophosphamide)||cyclophosphamid||cyclophosphamide
hydrocortisone (unknown)||hydrocortisone||hydrocortisone
amlodipine (amlodipine besilate)||amlodipine||amlodipine
hydrocortisone (unknown)||hydro||ethanol
cyclophosphamide (manufacturer unknown)||cyclophosphamide||cyclophosphamide
cyclophosphamide (manufacturer unknown)||cyclophosphamid||cyclophosphamide
amlodipine (amlodipine)||amlodipine||amlodipine
niraparib capsule||niraparib||niraparib
hydrocortisone hemisuccinate||hydrocortisone||hydrocortisone
amlodipine (amlodipine) (amlodipine)||amlodipine||amlodipine
hydrocortisone hemisuccinate||hydro||ethanol
cyclophosphamide (manufacturer unknown) (cyclophosphamide) (cyclophosphamide)||cyclophosphamide||cyclophosphamide
cyclophosphamide (manufacturer unknown) (cyclophosphamide) (cyclophosphamide)||cyclophosphamid||cyclophosphamide
hydrocortisone sodium phosphate||phosphate||sodium phosphate, monobasic, unspecified form
amlodipine (amlodipine) (unknown)||amlodipine||amlodipine
hydrocortisone sodium phosphate||hydrocortisone||hydrocortisone
somatuline autogel 120mg||somatuline autogel||lanreotide
hydrocortisone sodium phosphate||hydro||ethanol
amlodipine (unknown)||amlodipine||amlodipine
somatuline autogel 60mg||somatuline autogel||lanreotide
cyclophosphamide (unknown)||cyclophosphamide||cyclophosphamide
cyclophosphamide (unknown)||cyclophosphamid||cyclophosphamide
amlodipine 10 mg||amlodipine||amlodipine
hydrocortisone sodium succinate||hydrocortisone||hydrocortisone
hydrocortisone sodium succinate||hydro||ethanol
amlodipine [amlodipine besilate]||amlodipine||amlodipine
cyclophosphamide cap 50mg||cyclophosphamide||cyclophosphamide
cyclophosphamide cap 50mg||cyclophosphamid||cyclophosphamide
hydrocortisone tablets||hydrocortisone||hydrocortisone
amlodipine b||amlodipine||amlodipine
hydrocortisone tablets||hydro||ethanol
amlodipine benazepril||benazepril||benazepril
amlodipine benazepril||amlodipine||amlodipine
hydrocortisone upjohn||hydrocortisone||hydrocortisone
amlodipine besilate||amlodipine||amlodipine
hydrocortisone upjohn||hydro||ethanol
cyclophosphamide hydrate||cyclophosphamide||cyclophosphamide
nitro [glyceryl trinitrate]||glyceryl trinitrate||nitroglycerin
cyclophosphamide hydrate||cyclophosphamid||cyclophosphamide
amlodipine besy-benazepril hcl||benazepril||benazepril
amlodipine besy-benazepril hcl||amlodipine||amlodipine
amlodipine besy-benazepril hcl||benazepril hcl||benazepril
nitro patch||patch||levomenthol
hydrocortone||hydro||ethanol
cyclophosphamide injection 1g||cyclophosphamide||cyclophosphamide
amlodipine besylate (amlodipine besilate)||amlodipine||amlodipine
cyclophosphamide injection 1g||cyclophosphamid||cyclophosphamide
sorafenib (raf kinase inhibitor)||sorafenib||sorafenib
amlodipine besylate (amlodipine besilate)||amlodipine besylate||amlodipine
amlodipine besylate tablets||amlodipine||amlodipine
hydrodiuril||hydro||ethanol
amlodipine besylate tablets||amlodipine besylate||amlodipine
cyclophosphamide monohydrate||cyclophosphamide||cyclophosphamide
cyclophosphamide monohydrate||cyclophosphamid||cyclophosphamide
amlodipine besylate tablets 10mg||amlodipine||amlodipine
amlodipine besylate tablets 10mg||amlodipine besylate||amlodipine
amlodipine besylate tablets 5 mg||amlodipine||amlodipine
hydromol||hydro||ethanol
cyclophosphamide tablets usp||cyclophosphamide||cyclophosphamide
cyclophosphamide tablets usp||cyclophosphamid||cyclophosphamide
amlodipine besylate tablets 5 mg||amlodipine besylate||amlodipine
amlodipine besylate tablets 5mg||amlodipine||amlodipine
amlodipine besylate tablets 5mg||amlodipine besylate||amlodipine
hydromorph||hydro||ethanol
hydromorphine||hydro||ethanol
cyclosporine (ciclosporin)||cyclosporine||cyclosporine
cyclosporine (ciclosporin)||cyclosporin||cyclosporine
amlodipine maleate||amlodipine||amlodipine
hydromorphon||hydro||ethanol
cyclosporine (ciclosporin)||ciclosporin||cyclosporine
amlodipine mesilate||amlodipine||amlodipine
cyclosporine (unknown)||cyclosporine||cyclosporine
cyclosporine (unknown)||cyclosporin||cyclosporine
sotalol (chlorhydrate de)||sotalol||sotalol
amlodipino (2503a)||amlodipino||amlodipine
hydromorphon al||hydro||ethanol
nitrofurantoin monohydrate||nitrofurantoin||nitrofurantoin
sotalol (chlorhydrate de)||chlor||chlorine
cyclosporine (watson laboratories)||cyclosporine||cyclosporine
sotalol hcl||sotalol||sotalol
cyclosporine (watson laboratories)||cyclosporin||cyclosporine
nitrofurantoin monohydrate||nitrofurantoin mono||nitrofurantoin
hydromorphone (hydromorphone)||hydromorphone||hydromorphone
hydromorphone (hydromorphone)||hydro||ethanol
nitroglycerin (glyceryl trinitrate)||glyceryl trinitrate||nitroglycerin
nitroglycerin (glyceryl trinitrate)||nitroglycerin||nitroglycerin
cyclosporine cap 100mg||cyclosporine||cyclosporine
cyclosporine cap 100mg||cyclosporin||cyclosporine
hydromorphone contin||hydromorphone||hydromorphone
hydromorphone contin||hydro||ethanol
cyclosporine cap 100mg md||cyclosporine||cyclosporine
cyclosporine cap 100mg md||cyclosporin||cyclosporine
hydromorphone hcl (similar to 19-892)||hydromorphone hcl||hydromorphone
hydromorphone hcl (similar to 19-892)||hydromorphone||hydromorphone
hydromorphone hcl (similar to 19-892)||hydro||ethanol
cyclosporine cap 25mg mod||cyclosporine||cyclosporine
cyclosporine cap 25mg mod||cyclosporin||cyclosporine
hydromorphone hcl (similar to 19?892)||hydromorphone hcl||hydromorphone
amnesteem capsules||amnesteem||isotretinoin
hydromorphone hcl (similar to 19?892)||hydromorphone||hydromorphone
hydromorphone hcl (similar to 19?892)||hydro||ethanol
cyclosporine cap mod 100mg||cyclosporine||cyclosporine
cyclosporine cap mod 100mg||cyclosporin||cyclosporine
nitrostat (glyceryl trinitrate)||glyceryl trinitrate||nitroglycerin
nitrostat (glyceryl trinitrate)||nitrostat||nitroglycerin
hydromorphone hcl oral solution (rhodes)||hydromorphone hcl||hydromorphone
hydromorphone hcl oral solution (rhodes)||hydromorphone||hydromorphone
spasfon (phloroglucinol)||phloroglucin||phloroglucinol
hydromorphone hcl oral solution (rhodes)||hydro||ethanol
spasfon (phloroglucinol)||phloroglucinol||phloroglucinol
hydromorphone hcl oral solution (rhodes)||solution||minoxidil
hydromorphone hydrochloride (8mg)||hydromorphone hydrochloride||hydromorphone
spasfon (phloroglucinol\trimethylphloroglucinol)||phloroglucin||phloroglucinol
hydromorphone hydrochloride (8mg)||hydromorphone||hydromorphone
hydromorphone hydrochloride (8mg)||hydro||ethanol
spasfon (phloroglucinol\trimethylphloroglucinol)||phloroglucinol||phloroglucinol
spasfon [phloroglucinol;trimethylphloroglucinol]||phloroglucin||phloroglucinol
spasfon [phloroglucinol;trimethylphloroglucinol]||phloroglucinol||phloroglucinol
hydromorphone tablet (rhodes)||hydromorphone||hydromorphone
hydromorphone tablet (rhodes)||hydro||ethanol
spasfon [phloroglucinol]||phloroglucin||phloroglucinol
spasfon [phloroglucinol]||phloroglucinol||phloroglucinol
cymbalta (duloxetine hydrochloride)||duloxetine hydrochloride||duloxetine
cymbalta (duloxetine hydrochloride)||duloxetine||duloxetine
hydromorphone tablets||hydromorphone||hydromorphone
hydromorphone tablets||hydro||ethanol
cymbalta (duloxetine hydrochloride)||hydro||ethanol
cymbalta (duloxetine hydrochloride)||cymbalta||duloxetine
spasmex (trospium chloride)||trospium||trospium
spasmex (trospium chloride)||chloride||chloride ion
hydromorphonhydrochlorid beta||hydro||ethanol
amoxclav [amoxicillin;clavulanic acid]||clavulanic acid||clavulanic acid
spasmex (trospium chloride)||trospium chloride||trospium
amoxclav [amoxicillin;clavulanic acid]||amoxicillin||clavulanic acid
spasmex (trospium chloride)||chlor||chlorine
spasmex [trospium chloride]||trospium||trospium
spasmex [trospium chloride]||chloride||chloride ion
spasmex [trospium chloride]||trospium chloride||trospium
spasmex [trospium chloride]||chlor||chlorine
hydroval||hydro||ethanol
amoxi-clavulanico||amoxi-clav||clavulanic acid
hydroxocobalamin acetate||acetate||acetate
hydroxocobalamin acetate||hydro||ethanol
amoxicillin (amoxicillin)||amoxicillin||clavulanic acid
hydroxocobalamin acetate||hydroxocobalamin||hydroxocobalamin
amoxicillin 500mg||amoxicillin||clavulanic acid
hydroxychlor||hydro||ethanol
amoxicillin capsule||amoxicillin||clavulanic acid
hydroxychloroquine [hydroxychloroquine sulfate]||sulfate||sulfate ion
hydroxychloroquine [hydroxychloroquine sulfate]||hydroxychloroquine sulfate||hydroxychloroquine
amoxicillin capsules usp 500 mg||amoxicillin||clavulanic acid
hydroxychloroquine [hydroxychloroquine sulfate]||hydroxychloroquine||hydroxychloroquine
no treatment received||treatment||pyrithione
hydroxychloroquine [hydroxychloroquine sulfate]||hydro||ethanol
amoxicillin clavulanate||amoxicillin||clavulanic acid
hydroxychloroquine phosphate||phosphate||sodium phosphate, monobasic, unspecified form
amoxicillin clavulanate||clavulanate||clavulanic acid
hydroxychloroquine phosphate||hydroxychloroquine||hydroxychloroquine
hydroxychloroquine phosphate||hydro||ethanol
amoxicillin clavulanic acid||clavulanic acid||clavulanic acid
amoxicillin clavulanic acid||amoxicillin||clavulanic acid
cyproheptadine hcl||cyproheptadin||cyproheptadine
hydroxychloroquine sulfate (watson laboratories)||sulfate||sulfate ion
spiractin (spironolactone)||spironolactone||spironolactone
amoxicillin hydrate||amoxicillin||clavulanic acid
hydroxychloroquine sulfate (watson laboratories)||hydroxychloroquine sulfate||hydroxychloroquine
cyproheptadine hcl||cyproheptadine||cyproheptadine
hydroxychloroquine sulfate (watson laboratories)||hydroxychloroquine||hydroxychloroquine
hydroxychloroquine sulfate (watson laboratories)||hydro||ethanol
spiramycine||spiramycin||spiramycin
amoxicillin sodium||amoxicillin||clavulanic acid
hydroxychloroquine sulfate tablets usp||sulfate||sulfate ion
hydroxychloroquine sulfate tablets usp||hydroxychloroquine sulfate||hydroxychloroquine
hydroxychloroquine sulfate tablets usp||hydroxychloroquine||hydroxychloroquine
hydroxychloroquine sulfate tablets usp||hydro||ethanol
cytarabine (cytarabine)||cytarabine||cytarabine
spiriva (tiotropium bromide)||spiriva||tiotropium
spiriva (tiotropium bromide)||tiotropium||tiotropium
cytarabine (manufacturer unknown)||cytarabine||cytarabine
amoxicillin trihydrate||amoxicillin||clavulanic acid
spiriva (tiotropium bromide) (tiotropium bromide)||spiriva||tiotropium
cytarabine (manufacturer unknown) (cytarabine) (cytarabine)||cytarabine||cytarabine
spiriva (tiotropium bromide) (tiotropium bromide)||tiotropium||tiotropium
hydroxychloroquine sulphate||hydroxychloroquine||hydroxychloroquine
hydroxychloroquine sulphate||hydro||ethanol
spiriva combi||spiriva||tiotropium
cytarabine accord||cytarabine||cytarabine
hydroxychloroquine tablet||hydroxychloroquine||hydroxychloroquine
hydroxychloroquine tablet||hydro||ethanol
cytarabine ebewe||cytarabine||cytarabine
nolotil (metamizole magnesium)||metamizol||metamizole
nolotil (metamizole magnesium)||magnesium||magnesium
nolotil (metamizole magnesium)||metamizole||metamizole
hydroxyquinoline sulfate||sulfate||sulfate ion
cytarabine hydrochloride||cytarabine||cytarabine
cytarabine hydrochloride||hydro||ethanol
nolotil [metamizole magnesium]||metamizol||metamizole
nolotil [metamizole magnesium]||magnesium||magnesium
hydroxyquinoline sulfate||hydroxyquinoline||oxyquinoline
hydroxyquinoline sulfate||hydro||ethanol
nolotil [metamizole magnesium]||metamizole||metamizole
amoxicillin-clavulanat||amoxicillin||clavulanic acid
cytarabine kabi||cytarabine||cytarabine
hydroxyz||hydro||ethanol
amoxicillin-clavulanate||amoxicillin||clavulanic acid
cytotect||cytotec||misoprostol
amoxicillin-clavulanate||clavulanate||clavulanic acid
nolvadex d||nolvadex||tamoxifen
cytoxan (cyclophosphamide)||cyclophosphamide||cyclophosphamide
cytoxan (cyclophosphamide)||cyclophosphamid||cyclophosphamide
cytoxan (cyclophosphamide)||cytoxan||cyclophosphamide
hydroxyz hcl||hydro||ethanol
amoxicillin-clavulanic acid||clavulanic acid||clavulanic acid
amoxicillin-clavulanic acid||amoxicillin||clavulanic acid
non-pmn buprenorphine||buprenorphine||buprenorphine
non-pmn morphine sulfate||sulfate||sulfate ion
non-pmn morphine sulfate||morphine||morphine
hydroxyz pam||hydro||ethanol
non-pmn morphine sulfate||morphine sulfate||morphine
amoxicillin-pot clavulanate||amoxicillin||clavulanic acid
non-pmn morphine sulfate||morphin||morphine
amoxicillin-pot clavulanate||clavulanate||clavulanic acid
hydroxyzine (chlorhydrate d')||hydroxyzin||hydroxyzine
hydroxyzine (chlorhydrate d')||hydroxyzine||hydroxyzine
d-alpha tocopherol||tocopherol||tocopherol
hydroxyzine (chlorhydrate d')||hydro||ethanol
